,apt_ind,wi_quart_mi,wi_half_mi,wi_3_quart,wi_1_mi
1329,4620635,0,2,4,8
1330,4620662,2,2,2,8
1331,4620665,2,2,2,8
1332,4620816,0,0,0,0
1333,4620854,0,2,2,4
1334,4620900,0,2,4,6
1335,4621031,0,0,4,8
1336,4621174,0,0,0,0
1337,4621366,2,4,6,8
1338,4621623,0,0,0,0
1339,4621725,0,0,0,0
1340,4621765,0,0,0,0
1341,4622474,0,0,4,6
1342,4622479,0,0,4,10
1343,4622521,0,0,0,2
1344,4622572,0,0,0,0
1345,4622622,0,0,0,0
1346,4622648,0,0,0,0
1347,4622733,0,0,2,8
1348,4622747,0,0,0,0
1349,4622748,0,0,0,0
1350,4622757,0,0,0,0
1351,4622758,0,0,0,2
1352,4622761,0,0,0,2
1353,4622763,0,0,0,0
1354,4622765,0,0,0,4
1355,4622766,0,4,4,4
1356,4622768,0,4,4,4
1357,4622960,0,0,2,4
1358,4623088,0,0,0,0
1359,4623089,0,2,2,4
1360,4623124,2,2,6,10
