Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
East Ukrainian Village,1.0,1575.0,1.0,1.0,1.0,1.0,0.0,0.006629835111542192,12.0,7.0,0.006864988558352402,0.004004576659038902,0.27884615384615385,1748.0,0.0005720823798627002,5155.0,0.00018989745537409798,0,0.032404830261881665,0.2056008341416101,0.7113521241513094
Garfield Ridge,1.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.031376398734867486,42.0,7.0,0.02275189599133261,0.003791982665222102,0.2644230769230769,1846.0,0.0005417118093174431,27507.0,0.00018989745537409798,0,0.005126309666630313,0.4385022030755808,0.546382102737485
Heart of Chicago,1.0,600.0,0.0,1.0,0.0,1.0,0.0,0.23546251374381527,43.0,16.0,0.0114758473445423,0.004270082732852949,0.2980769230769231,3747.0,0.0002668801708033093,14552.0,0.00018989745537409798,0,0.02156875343595382,0.8737519722374932,0.09696213578889501
Kilbourn Park,1.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.09864640494044993,44.0,18.0,0.028132992327365727,0.011508951406649617,0.6586538461538461,1564.0,0.0006393861892583121,6801.0,0.00018989745537409798,0,0.014409042787825321,0.6141734744890456,0.27744455227172476
Lake Calumet,1.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5014116554508747,127.0,41.0,0.056045895851721095,0.018093556928508385,0.7884615384615384,2266.0,0.000441306266548985,7430.0,0.00018989745537409798,0,0.8502036069986542,0.1154848586810229,0.025443485868102286
Edgewater,1.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.15515609615384615,43.0,14.0,0.013362336855189559,0.00435052827843381,0.30288461538461536,3218.0,0.00031075201988812925,10400.0,0.00018989745537409798,0,0.08078511538461539,0.300202,0.5459624423076923
Golden Gate,1.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.8142,4.0,2.0,0.02962962962962963,0.014814814814814815,0.7211538461538461,135.0,0.007407407407407408,607.0,0.00018989745537409798,0,1.0,0.0,0.0
Goose Island,1.0,1300.0,0.0,1.0,0.0,1.0,0.0,0.19326076512455515,40.0,12.0,0.024737167594310452,0.0074211502782931356,0.5240384615384616,1617.0,0.0006184291898577613,4496.0,0.00018989745537409798,0,0.188602268683274,0.15500578291814948,0.534011743772242
Mayfair,0.0,,0.0,0.0,,,0.0,0.08904323083344928,17.0,4.0,0.013787510137875101,0.0032441200324412004,0.2403846153846154,1233.0,0.0,7187.0,0.0,0,0.026039654932517045,0.34717386948657303,0.39501650201753163
Edgebrook,0.0,,0.0,0.0,,,0.0,0.018744375857338822,4.0,0.0,0.012987012987012988,0.0,0.036057692307692304,308.0,0.0,5832.0,0.0,0,0.018524142661179698,0.08863328189300412,0.7169146604938271
The Villa,0.0,,0.0,0.0,,,0.0,0.038099999999999995,5.0,0.0,0.021929824561403508,0.0,0.036057692307692304,228.0,0.0,867.0,0.0,0,0.0,0.16720000000000002,0.6505
Streeterville,0.0,,0.0,0.0,,,0.0,0.023706778315439284,187.0,69.0,0.019698725376593278,0.0072685136416306756,0.5048076923076923,9493.0,0.0,26452.0,0.0,0,0.05865845682746107,0.060147606986239235,0.6928740397701496
Tri-Taylor,0.0,,0.0,0.0,,,0.0,0.17066430045398268,58.0,23.0,0.029263370332996974,0.01160443995963673,0.6682692307692307,1982.0,0.0,7269.0,0.0,0,0.4867194249552896,0.2159903150364562,0.19440335672031916
Ukrainian Village,0.0,,0.0,0.0,,,0.0,0.05945149476831091,22.0,7.0,0.007475365273530411,0.002378525314305131,0.15865384615384615,2943.0,0.0,8028.0,0.0,0,0.023026420029895363,0.14272766567015446,0.7635828724464376
Union Ridge,0.0,,0.0,0.0,,,0.0,0.050794282926829276,9.0,5.0,0.023316062176165803,0.012953367875647668,0.6923076923076923,386.0,0.0,5125.0,0.0,0,0.004282126829268293,0.17228019512195122,0.7496824585365854
The Gap,0.0,,0.0,0.0,,,0.0,0.035399999999999994,1.0,1.0,0.014705882352941176,0.014705882352941176,0.7163461538461539,68.0,0.0,907.0,0.0,0,0.6912999999999999,0.032,0.183
Brynford Park,0.0,,0.0,0.0,,,0.0,0.0464,2.0,0.0,0.015625,0.0,0.036057692307692304,128.0,0.0,1620.0,0.0,0,0.014199999999999999,0.158,0.6437999999999999
Bridgeport,0.0,,0.0,0.0,,,0.0,0.1895186561245229,132.0,37.0,0.013893274392169246,0.0038943269129565307,0.27403846153846156,9501.0,0.0,40346.0,0.0,0,0.02833785009666386,0.2707330491250681,0.29673902493431825
Illinois Medical District,0.0,,0.0,0.0,,,0.0,0.21252548456568557,7.0,1.0,0.013944223107569721,0.00199203187250996,0.13942307692307693,502.0,0.0,1393.0,0.0,0,0.2411975592246949,0.2505223259152907,0.2606011486001436
Edgewater Glen,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.00847457627118644,0.0,0.036057692307692304,118.0,0.0,886.0,0.0,0,0.0124,0.17379999999999998,0.7313999999999999
South Old Irving Park,0.0,,0.0,0.0,,,0.0,0.16670000000000001,1.0,0.0,0.007042253521126761,0.0,0.036057692307692304,142.0,0.0,681.0,0.0,0,0.0382,0.6197,0.3421
South East Ravenswood,0.0,,0.0,0.0,,,0.0,0.13546512027491409,10.0,1.0,0.010893246187363835,0.0010893246187363835,0.08173076923076923,918.0,0.0,2910.0,0.0,0,0.04912996563573883,0.15775676975945016,0.691731821305842
Irving Woods,0.0,,0.0,0.0,,,0.0,0.07342782657976764,4.0,2.0,0.017467248908296942,0.008733624454148471,0.5769230769230769,229.0,0.0,3529.0,0.0,0,0.03827276848965713,0.21395281949560785,0.7137798526494759
South Commons,0.0,,0.0,0.0,,,0.0,0.10458352649006622,50.0,21.0,0.10504201680672269,0.04411764705882353,0.9807692307692307,476.0,0.0,1208.0,0.0,0,0.8137487582781456,0.006621854304635762,0.0836125
